Date,Gold_Price,SAHMREALTIME,T10Y2Y,VIXCLS,DEXUSEU,DTWEXBGS,FEDFUNDS,GS10,GS2,CPIAUCSL,GDP,PCEPI,SP500,Crude_Oil,Disaster_Flag,Epidemic_Start_Flag,avg_tone,conflict_war_count,civil_unrest_protest_count
2015-12-02,1053.69,-0.03,1.24,15.91,1.0573,112.3715,0.24,2.24,0.98,237.761,18435.137,97.456,2079.51,39.93,1,0,-1.5990825269645432,25814,2861
2015-12-03,1062.57,-0.03,1.37,18.11,1.0902,111.6407,0.24,2.24,0.98,237.761,18435.137,97.456,2049.62,41.08,1,0,-1.852464258171001,28321,2767
2015-12-04,1086.99,-0.03,1.32,14.81,1.0884,111.5463,0.24,2.24,0.98,237.761,18435.137,97.456,2091.69,40.0,1,0,-1.78355191979328,27174,2575
2015-12-07,1070.39,-0.03,1.29,15.84,1.084,112.3056,0.24,2.24,0.98,237.761,18435.137,97.456,2077.07,37.64,1,0,-1.7327601677280495,25208,2574
2015-12-08,1074.69,-0.03,1.3,17.6,1.0876,112.5485,0.24,2.24,0.98,237.761,18435.137,97.456,2063.59,37.46,1,0,-1.7060987006796984,24351,2625
2015-12-09,1073.21,-0.03,1.29,19.61,1.0984,112.1918,0.24,2.24,0.98,237.761,18435.137,97.456,2047.62,37.16,1,0,-1.640265391286703,26269,2868
2015-12-10,1071.54,-0.03,1.29,19.34,1.0948,112.2672,0.24,2.24,0.98,237.761,18435.137,97.456,2052.23,36.76,1,0,-1.537057234385114,23531,3192
2015-12-11,1074.89,-0.03,1.25,24.39,1.1002,112.7147,0.24,2.24,0.98,237.761,18435.137,97.456,2012.37,35.65,1,0,-1.6258972838789525,21648,2852
2015-12-14,1062.9,-0.03,1.26,22.73,1.1025,112.7521,0.24,2.24,0.98,237.761,18435.137,97.456,2021.94,36.31,1,0,-1.651122606795965,23702,2840
2015-12-15,1060.74,-0.03,1.3,20.95,1.0911,112.8609,0.24,2.24,0.98,237.761,18435.137,97.456,2043.41,37.32,1,0,-1.5952989816665992,23459,2943
2015-12-16,1072.94,-0.03,1.28,17.86,1.0937,112.9864,0.24,2.24,0.98,237.761,18435.137,97.456,2073.07,35.55,1,0,-1.666384161155338,24116,3024
2015-12-17,1051.74,-0.03,1.24,18.94,1.0804,113.8177,0.24,2.24,0.98,237.761,18435.137,97.456,2041.89,34.98,1,0,-1.4507929063077092,20807,3066
2015-12-18,1066.19,-0.03,1.22,20.7,1.0847,113.2837,0.24,2.24,0.98,237.761,18435.137,97.456,2005.55,34.72,1,0,-1.53964619368949,20708,2823
2015-12-21,1078.44,-0.03,1.24,18.7,1.092,113.4144,0.24,2.24,0.98,237.761,18435.137,97.456,2021.15,34.55,1,0,-1.6873648004170585,21638,2442
2015-12-22,1072.36,-0.03,1.25,16.6,1.0978,113.211,0.24,2.24,0.98,237.761,18435.137,97.456,2038.97,36.12,1,0,-1.673117053077859,21902,2480
2015-12-23,1070.35,-0.03,1.26,15.57,1.0875,113.1847,0.24,2.24,0.98,237.761,18435.137,97.456,2064.29,36.76,1,0,-1.8101051159790855,22688,2210
2015-12-24,1075.88,-0.03,1.22,15.74,1.0955,113.0496,0.24,2.24,0.98,237.761,18435.137,97.456,2060.99,37.62,1,0,-1.7952584396554476,19280,2059
2015-12-25,1075.88,-0.03,1.22,15.74,1.0955,113.0496,0.24,2.24,0.98,237.761,18435.137,97.456,2060.99,37.62,1,0,-2.0009931417658944,15765,1492
2015-12-28,1069.05,-0.03,1.19,16.91,1.0983,113.0461,0.24,2.24,0.98,237.761,18435.137,97.456,2056.5,36.36,1,0,-2.116237508715074,21492,2064
2015-12-29,1068.99,-0.03,1.23,16.08,1.0916,113.1664,0.24,2.24,0.98,237.761,18435.137,97.456,2078.36,37.88,1,0,-2.136823183312648,21754,2085
2015-12-30,1061.45,-0.03,1.23,17.29,1.0912,113.4707,0.24,2.24,0.98,237.761,18435.137,97.456,2063.36,36.59,1,0,-2.038688624461872,21654,2053
2015-12-31,1061.3,-0.03,1.21,18.21,1.0859,113.3429,0.24,2.24,0.98,237.761,18435.137,97.456,2043.94,37.13,1,0,-2.0403781715774545,19874,1810
